PASSENGERS,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,YEAR,MONTH,CLASS
0.00,0.00,4W,20323,31517,FAI,"Fairbanks, AK",31517,FAI,"Fairbanks, AK",2025,7,P
0.00,0.00,5Y,20007,30194,DFW,"Dallas/Fort Worth, TX",30194,DFW,"Dallas/Fort Worth, TX",2025,7,P
0.00,0.00,5Y,20007,30299,ANC,"Anchorage, AK",30299,ANC,"Anchorage, AK",2025,7,P
0.00,0.00,5Y,20007,30466,AZA,"Phoenix, AZ",30466,AZA,"Phoenix, AZ",2025,7,P
0.00,0.00,5Y,20007,30852,BWI,"Baltimore, MD",30852,BWI,"Baltimore, MD",2025,7,L
0.00,0.00,5Y,20007,30928,IAB,"Wichita, KS",30928,IAB,"Wichita, KS",2025,7,P
0.00,0.00,5Y,20007,30977,ORD,"Chicago, IL",30977,ORD,"Chicago, IL",2025,7,P
0.00,0.00,5Y,20007,30994,CHS,"Charleston, SC",30994,CHS,"Charleston, SC",2025,7,P
0.00,0.00,5Y,20007,31453,IAH,"Houston, TX",31453,IAH,"Houston, TX",2025,7,L
0.00,0.00,5Y,20007,31703,JFK,"New York, NY",31703,JFK,"New York, NY",2025,7,P
0.00,0.00,5Y,20007,32134,HNL,"Honolulu, HI",32134,HNL,"Honolulu, HI",2025,7,P
0.00,0.00,5Y,20007,32467,FLL,"Fort Lauderdale, FL",32467,FLL,"Fort Lauderdale, FL",2025,7,L
0.00,0.00,5Y,20007,32467,MIA,"Miami, FL",32467,MIA,"Miami, FL",2025,7,P
0.00,0.00,5Y,20007,32467,OPF,"Miami, FL",32467,OPF,"Miami, FL",2025,7,L
0.00,0.00,5Y,20007,35045,SUU,"Fairfield, CA",35045,SUU,"Fairfield, CA",2025,7,P
0.00,0.00,7S,20330,30299,ANC,"Anchorage, AK",30299,ANC,"Anchorage, AK",2025,7,G
0.00,0.00,ABX,20453,30466,PHX,"Phoenix, AZ",30466,PHX,"Phoenix, AZ",2025,7,G
0.00,0.00,ABX,20453,30559,SEA,"Seattle, WA",30559,SEA,"Seattle, WA",2025,7,G
0.00,0.00,ABX,20453,30852,BWI,"Baltimore, MD",30852,BWI,"Baltimore, MD",2025,7,G
0.00,0.00,ABX,20453,30977,ORD,"Chicago, IL",30977,ORD,"Chicago, IL",2025,7,G
0.00,0.00,ABX,20453,31453,IAH,"Houston, TX",31453,IAH,"Houston, TX",2025,7,G
0.00,0.00,ABX,20453,32467,MIA,"Miami, FL",32467,MIA,"Miami, FL",2025,7,G
0.00,0.00,ABX,20453,32575,LAX,"Los Angeles, CA",32575,LAX,"Los Angeles, CA",2025,7,G
0.00,0.00,ABX,20453,33105,CVG,"Cincinnati, OH",33105,CVG,"Cincinnati, OH",2025,7,G
0.00,0.00,ABX,20453,33105,CVG,"Cincinnati, OH",33105,CVG,"Cincinnati, OH",2025,7,P
0.00,0.00,ABX,20453,33195,TPA,"Tampa, FL",33195,TPA,"Tampa, FL",2025,7,G
0.00,0.00,ABX,20453,33195,TPA,"Tampa, FL",33195,TPA,"Tampa, FL",2025,7,P
0.00,0.00,ABX,20453,33947,OSC,"Oscoda, MI",33947,OSC,"Oscoda, MI",2025,7,G
0.00,0.00,AMQ,20201,31295,YIP,"Detroit, MI",31295,YIP,"Detroit, MI",2025,7,P
0.00,0.00,AS,19930,30299,ANC,"Anchorage, AK",30299,ANC,"Anchorage, AK",2025,7,G
0.00,0.00,C5,20445,31453,IAH,"Houston, TX",31453,IAH,"Houston, TX",2025,7,F
0.00,0.00,C5,20445,35048,SUX,"Sioux City, IA",35048,SUX,"Sioux City, IA",2025,7,F
0.00,0.00,EM,20263,30299,ANC,"Anchorage, AK",30299,ANC,"Anchorage, AK",2025,7,G
0.00,0.00,EM,20263,30466,PHX,"Phoenix, AZ",30466,PHX,"Phoenix, AZ",2025,7,G
0.00,0.00,EM,20263,30559,SEA,"Seattle, WA",30559,SEA,"Seattle, WA",2025,7,G
0.00,0.00,EM,20263,33486,MSO,"Missoula, MT",33486,MSO,"Missoula, MT",2025,7,G
0.00,0.00,EM,20263,34457,RAP,"Rapid City, SD",34457,RAP,"Rapid City, SD",2025,7,G
0.00,0.00,GCA,22085,32206,HRL,"Harlingen/San Benito, TX",32206,HRL,"Harlingen/San Benito, TX",2025,7,L
0.00,0.00,K2,21820,32807,KSM,"St. Mary's, AK",32807,KSM,"St. Mary's, AK",2025,7,F
0.00,0.00,K2,21820,35086,SXQ,"Soldotna, AK",35086,SXQ,"Soldotna, AK",2025,7,F
0.00,0.00,KLQ,20372,31295,YIP,"Detroit, MI",31295,YIP,"Detroit, MI",2025,7,L
0.00,0.00,KLQ,20372,32467,MIA,"Miami, FL",32467,MIA,"Miami, FL",2025,7,L
0.00,0.00,KLQ,20372,33198,MCI,"Kansas City, MO",33198,MCI,"Kansas City, MO",2025,7,L
0.00,0.00,KLQ,20372,33947,OSC,"Oscoda, MI",33947,OSC,"Oscoda, MI",2025,7,L
0.00,0.00,LF,21635,33121,LWB,"Lewisburg, WV",33121,LWB,"Lewisburg, WV",2025,7,L
0.00,0.00,PO,20100,30299,ANC,"Anchorage, AK",30299,ANC,"Anchorage, AK",2025,7,P
0.00,0.00,PO,20100,32467,MIA,"Miami, FL",32467,MIA,"Miami, FL",2025,7,P
0.00,0.00,SY,20422,30194,AFW,"Dallas/Fort Worth, TX",30194,AFW,"Dallas/Fort Worth, TX",2025,7,P
