year,month,mkt_id,dest_city,passengers,season
2024,12,31703,"New York, NY",4087194.0,winter
2024,12,30397,"Atlanta, GA",3795535.0,winter
2024,12,30194,"Dallas/Fort Worth, TX",3773612.0,winter
2024,12,32575,"Los Angeles, CA",3452937.0,winter
2024,12,30977,"Chicago, IL",3274312.0,winter
2024,12,30325,"Denver, CO",3176947.0,winter
2024,12,32467,"Miami, FL",2739379.0,winter
2024,12,30852,"Washington, DC",2697078.0,winter
2024,12,32457,"San Francisco, CA",2325756.0,winter
2024,12,30466,"Phoenix, AZ",2250126.0,winter
2024,12,32211,"Las Vegas, NV",2214373.0,winter
2024,12,31454,"Orlando, FL",2198176.0,winter
2024,12,31057,"Charlotte, NC",2147110.0,winter
2024,12,31453,"Houston, TX",2041179.0,winter
2024,12,30559,"Seattle, WA",1786907.0,winter
2024,12,30721,"Boston, MA",1520097.0,winter
2024,12,31650,"Minneapolis, MN",1319458.0,winter
2024,12,31295,"Detroit, MI",1167169.0,winter
2024,12,33195,"Tampa, FL",1158086.0,winter
2024,12,34614,"Salt Lake City, UT",1088308.0,winter
2024,12,34100,"Philadelphia, PA",1032598.0,winter
2024,12,33570,"San Diego, CA",1024919.0,winter
2024,12,30693,"Nashville, TN",927276.0,winter
2024,12,30423,"Austin, TX",840683.0,winter
2024,12,32134,"Honolulu, HI",780799.0,winter
2024,12,34057,"Portland, OR",714095.0,winter
2024,12,31123,"St. Louis, MO",611652.0,winter
2024,12,34492,"Raleigh/Durham, NC",610967.0,winter
2024,12,34819,"San Juan, PR",601195.0,winter
2024,12,31714,"Fort Myers, FL",561254.0,winter
2024,12,33192,"Sacramento, CA",541294.0,winter
2024,12,33495,"New Orleans, LA",517138.0,winter
2024,12,33198,"Kansas City, MO",456385.0,winter
2024,12,34027,"West Palm Beach/Palm Beach, FL",446077.0,winter
2024,12,33214,"San Antonio, TX",440360.0,winter
2024,12,30647,"Cleveland, OH",400377.0,winter
2024,12,32337,"Indianapolis, IN",400057.0,winter
2024,12,30198,"Pittsburgh, PA",360097.0,winter
2024,12,31066,"Columbus, OH",349453.0,winter
2024,12,33105,"Cincinnati, OH",332714.0,winter
2024,12,31136,"Jacksonville, FL",323466.0,winter
2024,12,33830,"Kahului, HI",299212.0,winter
2024,12,30529,"Hartford, CT",275391.0,winter
2024,12,30994,"Charleston, SC",235814.0,winter
2024,12,33342,"Milwaukee, WI",225967.0,winter
2024,12,30713,"Boise, ID",224816.0,winter
2024,12,30140,"Albuquerque, NM",218575.0,winter
2024,12,34986,"Sarasota/Bradenton, FL",208937.0,winter
2024,12,33316,"Omaha, NE",204078.0,winter
2024,12,34524,"Richmond, VA",202877.0,winter
2024,12,33667,"Norfolk, VA",200356.0,winter
2024,12,34570,"Reno, NV",196917.0,winter
2024,12,30792,"Buffalo, NY",187715.0,winter
2024,12,33244,"Memphis, TN",186999.0,winter
